# time    sigma_z
0.0000  1.0000
0.25000 0.94006
0.50000 0.79762
0.75000 0.63352
1.0000  0.50563
1.2500  0.44864
1.5000  0.46346
1.7500  0.52119
2.0000  0.57892
2.2500  0.59966
2.5000  0.56744
2.7500  0.49168
3.0000  0.40012
3.2500  0.32473
3.5000  0.28749
3.7500  0.29202
4.0000  0.32416
4.2500  0.36005
4.5000  0.37747
4.7500  0.36517
5.0000  0.32636
5.2500  0.27564
5.5000  0.23139
5.7500  0.20741
6.0000  0.20749
6.2500  0.22496
6.5000  0.24673
6.7500  0.25962
7.0000  0.25603
7.2500  0.23654
7.5000  0.20869
7.7500  0.18290
8.0000  0.16768
8.2500  0.16618
8.5000  0.17544
8.7500  0.18837
9.0000  0.19725
9.2500  0.19713
9.5000  0.18760
9.7500  0.17244
10.000  0.15752
10.250  0.14800
10.500  0.14621
10.750  0.15097
11.000  0.15850
11.250  0.16435
11.500  0.16535
11.750  0.16085
12.000  0.15270
12.250  0.14413
12.500  0.13824
12.750  0.13666
13.000  0.13902
13.250  0.14334
13.500  0.14706
13.750  0.14821
14.000  0.14620
14.250  0.14187
14.500  0.13699
14.750  0.13339
15.000  0.13216
15.250  0.13327
15.500  0.13570
